artifact	size	sha256	manifest_sha256	lib_sha256	www_sha256	core_validation_sha256	abis	native_lib_count
NorMaker-0.1-gmk-phase12-debug.apk	1641799	44fdf15742e12750a97e60e196b86b42c032e167fefd317583e3a7c89aa1f2b9	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	9f49f45a12f899a3c438a092cf4ef170bf343da0e77140308c740e72a8766371		d29bf4b3b82e1e1737c6b548dfd710dcb5e242aba74ac272a39f91b5af6498f6	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gmk-snapshot-debug.apk	10932860	a70ddf055394b76fe1be0664b8ecdfae6aa908994b919bb2f6afbf9207a36a23	eb1b8b2296d66e86b074d712af55829e115f300c142116f529e85dc6b919f16d	92eb8471af26fbe0b5a108d6fe56cb847fd2d7ce8e91d0ba264a747c4488e352	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	abcfa6a9d4df344d1781bc2560b5e4cdcae08b39ed303063535e7e1e926a304a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gml-do-until-debug.apk	10932860	37dbe57a2d1db0b2ce1d580e03e48b871192b228fc7adf5571865df8fad309cf	eb1b8b2296d66e86b074d712af55829e115f300c142116f529e85dc6b919f16d	dd97f65f6f288b005539aab4c5caed4d753e1cab0061fe001b1da1350945fd15	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	abcfa6a9d4df344d1781bc2560b5e4cdcae08b39ed303063535e7e1e926a304a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gml-motion-math-debug.apk	11216666	1d51e0d184beda02eb5140e83f8a65127b066e47587d22735f1de534efc105b6	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	787711ea41340221ded1f68c726e1eababc74556894a05f12fc6f40e4d75d4e6	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	e7131f4382039fd3774b33d85ff335b0b2378b2d0f23de9b985d81c07ab61ae2	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gml-switch-debug.apk	10932860	2e09c2a4c96109dd96277a3d2ef65e83506fa3e8a9ad4fc06dc26c5c601f954b	eb1b8b2296d66e86b074d712af55829e115f300c142116f529e85dc6b919f16d	aa9bae7576ed5f7c51c5cacc706e26758d24d2e3443a0bdb1d5ae3c72a16cbc5	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	abcfa6a9d4df344d1781bc2560b5e4cdcae08b39ed303063535e7e1e926a304a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-native-resource-writer-debug.apk	11210443	1a6b5652e1c8568e3997d375cb67f3ddf40732f2834de40806e2527c7cdce374	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	5c7c38e1ae96cf77939684d5be6f78957023ab21c3b93e8ca0139adb6738978e	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	89e519c103bfd6525627c0059ce44559dac233a2fa9664a89ef5ccf8de774fbd	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-object-events-actions-writer-debug.apk	11211365	ddb724f22eb7e9544820d4f55e66991483b2bb6d727b6653dbae4450f69145c4	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	e89533d8f8e0eb22e8c8a1ce89269bd66d5dc74b3c0fb26c0ce45035537bce99	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	57719771f0c1aab49cc58cdfa6636d87a893a765853b576da3c3e4436c0072ba	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-restored-full-debug.apk	11059240	55d13266f93714a37775b6be7031b2ce59a8661d41ba23496c5ea3e7bd9418f2	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	63c094b81ee53826629312122c7e64fd7e7648611edb7cce0d0a4f956558d93d	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	6c187583bde0e11381e75ab8f99c6550cf8c7879e1473f8f6703e80b5f1b77e4	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-runtime-parity-batch-debug.apk	11207414	a10d937d2fb820f05872eaf1374bfbe76a140b3b39cc06826787979915bfd55b	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	c0b81a07caaa3276ac943673c4173176862a77b230e91c649d603020a7fb66ba	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	0a0fa69906910cad53c8aedac1f37c0ffe2139bd2870e959e5e3471e80072764	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-semantic-writer-batch-debug.apk	11209861	03a781ceacfe03dd472e73958ffc4021595b9a80dcba3e1f3d5864ccb33ca234	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	3ab9c469f4b18846a94c655488bc88a0ddc37c04c48cc9b55f0990654a1946ff	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	b4db4fb85d67e9ac1dfbf903ff650a0dbd76775f5293f8a417cda20da2245580	arm64-v8a,armeabi-v7a,x86,x86_64	4

== source archives ==
nor_maker_0_1_core_increment.zip	16116	461cedfa138c4259a35e32b0045e373f475adb166530f12419ef4a98b4c33498	/home/ubuntu/nor_maker_0_1/nor_maker_0_1_core_increment.zip
NorMaker-0.1-merged-android-project.zip	61716	596be03865c4a91bb2ad268f471b890c61f871529817e69d67ca9ab2234d8c1b	/home/ubuntu/nor_maker_0_1/NorMaker-0.1-merged-android-project.zip
NorMaker-0.1-android-current-merged.zip	65738	7518972dede6db27a18bc24eee8b72a6be09fa6a5193b7b527183bb8888f6e66	/home/ubuntu/nor_maker_0_1/NorMaker-0.1-android-current-merged.zip
NorMaker-0.1-gmk-phases1-2-project.zip	44425	b54a8c39194bd6195bfbc2763fb724c0968640baeb4ac99d678ba96ee72fcdfd	/home/ubuntu/nor_maker_0_1/NorMaker-0.1-gmk-phases1-2-project.zip

== source tree hashes ==
0b13e1f9b89f76584bae9a3e0fd4b352b7c0b1497eca8f3abf243de78a34e11e  -
